日期,代码,名称,所属行业,开盘价,最高价,最低价,收盘价,前收盘价,成交量（股）,成交额（元）,换手率,涨幅%,振幅%,是否ST,量比,3日涨幅%,6日涨幅%,10日涨幅%,25日涨幅%,是否涨停,总股本（股）,流通股本（股）,总市值（元）,流通市值（元）,滚动市盈率,市净率,滚动市销率,5日线,10日线,20日线,30日线,60日线,120日线,250日线,上市时间,退市时间,是否融资融券
2026-03-09,000001,平安银行,银行,10.790,10.820,10.740,10.760,10.820,83589200,900716851.00,0.430000,-0.550,0.740,否,1.010,0.467,-1.284,-1.375,-2.093,否,19405918198,19405600653,208807679810.480,208804263026.280,4.842703,0.466113,1.537827,10.800,10.840,10.910,10.940,11.210,11.390,11.590,1991-04-03,-,是
2026-03-09,000002,万  科Ａ,房地产开发,4.650,4.670,4.620,4.650,4.720,92022300,426883196.00,0.950000,-1.480,1.060,否,0.750,0.649,-3.926,-6.439,-6.061,否,11930709471,9716399629,55477799040.150,45181258274.850,-0.931602,0.315653,0.194885,4.670,4.770,4.810,4.840,4.850,5.620,6.250,1991-01-29,-,是
2026-03-09,000004,*ST国华,软件开发,5.070,5.150,5.070,5.070,5.340,8154300,41384170.00,6.460000,-5.060,1.500,是,1.070,-14.358,-26.522,-39.354,-59.730,否,132380282,126287768,671168029.740,640278983.760,-5.465558,18.165331,9.095848,5.640,6.430,8.070,9.370,10.140,10.920,10.300,1991-01-14,-,否
2026-03-09,000006,深振业Ａ,房地产开发,9.020,9.060,8.630,8.850,9.130,35969800,316014578.00,2.660000,-3.070,4.710,否,1.260,3.388,-4.634,-6.151,-9.138,否,1349995046,1349987396,11947456157.100,11947388454.600,-11.358788,2.213813,3.471290,8.760,9.030,9.080,9.140,9.490,10.070,8.290,1992-04-27,-,是
2026-03-09,000007,全新好,房地产服务,13.150,13.420,12.910,13.230,13.270,7390700,96999737.00,2.130000,-0.300,3.840,否,0.870,0.456,-2.863,6.608,14.645,否,346448044,346448044,4583507622.120,4583507622.120,80.889917,25.091378,10.120419,13.100,13.110,12.430,12.040,11.670,9.960,8.460,1992-04-13,-,否
2026-03-09,000008,神州高铁,交运设备,2.910,2.930,2.860,2.910,2.930,39671900,114771931.00,1.460000,-0.680,2.390,否,0.720,2.827,-3.322,-1.689,-9.346,否,2716377683,2716296952,7904659057.530,7904424130.320,-17.461982,2.696743,3.713126,2.890,2.950,2.970,3.040,3.000,2.980,2.890,1992-05-07,-,是
2026-03-09,000009,中国宝安,综合行业,9.040,9.110,8.810,9.080,9.130,29832200,267203401.00,1.160000,-0.550,3.290,否,0.910,2.715,-4.921,-2.680,-12.776,否,2579213965,2576020465,23419262802.200,23390265822.200,332.290544,2.323761,1.045213,8.990,9.250,9.360,9.600,9.850,10.400,9.420,1991-06-25,-,是
2026-03-09,000010,美丽生态,工程建设,4.330,4.370,4.170,4.260,4.410,55585400,235891819.00,6.550000,-3.400,4.540,否,0.520,-3.620,-0.467,23.121,16.076,否,1149652292,848033335,4897518763.920,3612622007.100,108.476545,15.001036,5.363876,4.290,4.120,3.850,3.750,3.680,3.910,3.570,1995-10-27,-,否
2026-03-09,000011,深物业A,房地产开发,8.450,8.530,8.360,8.440,8.560,3851600,32450642.00,0.730000,-1.400,1.990,否,0.690,1.321,-5.062,-6.637,-7.048,否,595979092,526475543,5030063536.480,4443453582.920,-4.631202,1.482152,1.605959,8.410,8.680,8.870,8.900,8.970,9.380,8.970,1992-03-30,-,否
2026-03-09,000012,南  玻Ａ,玻璃玻纤,4.880,4.900,4.790,4.840,4.840,48668000,235694240.00,2.480000,0.000,2.270,否,1.000,1.255,-3.777,6.374,2.760,否,3070692107,1959316598,14862149797.880,9483092334.320,-40.246105,1.121704,1.058368,4.820,4.900,4.780,4.720,4.620,4.680,4.750,1992-02-28,-,是
