日期,代码,名称,所属行业,开盘价,最高价,最低价,收盘价,前收盘价,成交量（股）,成交额（元）,换手率,涨幅%,振幅%,是否ST,量比,3日涨幅%,6日涨幅%,10日涨幅%,25日涨幅%,是否涨停,总股本（股）,流通股本（股）,总市值（元）,流通市值（元）,滚动市盈率,市净率,滚动市销率,5日线,10日线,20日线,30日线,60日线,120日线,250日线,上市时间,退市时间
2026-05-06,000001,平安银行,银行,11.500,11.500,11.300,11.360,11.490,121638800,1380730921.00,0.630000,-1.130,1.740,否,0.740,-0.873,3.273,3.179,3.839,否,19405918198,19405600653,220451230729.280,220447623418.080,5.119629,0.475025,1.657403,11.440,11.230,11.170,11.100,11.010,11.250,11.550,1991-04-03,-
2026-05-06,000002,万  科Ａ,房地产开发,3.940,4.030,3.890,4.010,3.910,182828700,726387515.00,1.880000,2.560,3.580,否,1.600,6.933,5.249,1.263,-0.743,否,11930709471,9716935865,47842144978.710,38964912818.650,-0.542044,0.432823,0.213233,3.850,3.850,3.890,3.940,4.360,4.810,5.760,1991-01-29,-
2026-05-06,000006,深振业Ａ,房地产开发,9.590,9.620,9.300,9.470,9.700,42610100,401899192.00,3.160000,-2.370,3.300,否,1.530,3.159,-2.572,-1.045,4.641,否,1349995046,1349984846,12784453085.620,12784356491.620,-1453.764534,2.381141,8.382380,9.440,9.600,9.170,9.030,9.060,9.660,8.670,1992-04-27,-
2026-05-06,000007,全新好,房地产服务,16.410,16.410,15.200,15.970,15.510,17764000,285196283.00,5.130000,2.970,7.800,否,2.140,9.911,16.740,17.513,19.805,否,346448044,346448044,5532775262.680,5532775262.680,-2744.651501,30.893404,13.046171,14.820,14.300,13.750,13.610,13.210,11.960,9.610,1992-04-13,-
2026-05-06,000008,神州高铁,交运设备,2.700,2.710,2.680,2.700,2.690,48025300,129522281.00,1.770000,0.370,1.120,否,1.190,1.887,1.124,-0.369,1.124,否,2716377683,2716296952,7334219744.100,7334001770.400,-8.911686,3.398250,3.429798,2.680,2.690,2.720,2.770,2.870,2.960,2.900,1992-05-07,-
2026-05-06,000009,中国宝安,综合行业,8.650,8.830,8.610,8.740,8.650,42868900,373947374.00,1.660000,1.040,2.540,否,1.010,-0.907,-1.577,-2.673,-1.466,否,2579213965,2576020465,22542330054.100,22514418864.100,434.123673,2.247423,0.939447,8.870,8.890,8.850,8.850,9.100,9.710,9.520,1991-06-25,-
2026-05-06,000010,*ST美丽,工程建设,2.750,2.750,2.750,2.750,2.890,1531200,4210800.00,0.180000,-4.840,0.000,是,0.060,-18.639,-26.273,-32.598,-38.479,否,1149652292,868142135,3161543803.000,2387390871.250,-1862.031948,10.741796,4.891697,3.140,3.480,3.690,3.890,3.920,3.820,3.740,1995-10-27,-
2026-05-06,000011,深物业A,房地产开发,8.070,8.120,7.990,8.000,8.070,7224800,58088267.00,1.370000,-0.870,1.610,否,1.020,-3.265,-4.875,-5.993,-7.407,否,595979092,526475543,4767832736.000,4211804344.000,2899.877985,1.416399,1.949143,8.180,8.300,8.340,8.400,8.620,9.010,9.010,1992-03-30,-
2026-05-06,000012,南  玻Ａ,玻璃玻纤,4.040,4.080,3.990,4.030,4.030,29735800,119698797.00,1.520000,0.000,2.230,否,1.010,0.000,-9.843,-11.038,-10.841,否,3042468811,1959316598,12261149308.330,7896045889.940,1099.128938,0.940697,0.898886,4.120,4.310,4.390,4.430,4.610,4.620,4.690,1992-02-28,-
2026-05-06,000014,沙河股份,房地产开发,13.170,13.270,13.080,13.100,13.200,7842100,103195359.00,3.240000,-0.760,1.440,否,1.340,0.460,-0.228,-2.312,-13.302,否,242046224,242046224,3170805534.400,3170805534.400,-20.814830,2.296078,9.459866,13.150,13.210,13.240,13.680,13.750,14.210,14.240,1992-06-02,-
2026-05-06,000016,*ST康佳A,家电行业,3.150,3.230,3.080,3.080,3.240,49581400,154751301.00,3.110000,-4.940,4.630,是,1.120,-9.412,-9.145,-6.383,-6.949,否,2407945408,1596593800,7416471856.640,4917508904.000,-0.576662,-0.658885,0.804157,3.260,3.280,3.240,3.240,3.530,4.370,4.810,1992-03-27,-
2026-05-06,000017,深中华A,珠宝首饰,6.460,6.460,6.380,6.410,6.410,7137400,45741896.00,1.620000,0.000,1.250,否,1.000,1.746,0.628,-5.318,-4.471,否,689184933,440821951,4417675420.530,2825668705.910,106.862488,11.317370,6.242891,6.380,6.440,6.620,6.670,7.080,7.440,7.040,1992-03-31,-
2026-05-06,000019,深粮控股,贸易行业,7.670,7.910,7.640,7.820,7.690,18608500,144647563.00,4.470000,1.690,3.510,否,0.820,3.439,-3.218,3.166,0.000,否,1152535254,416206407,9012825686.280,3254734102.740,41.564885,1.783446,1.657344,7.750,7.840,7.840,7.760,7.530,7.320,7.070,1992-10-12,-
2026-05-06,000020,深华发Ａ,光学光电子,16.010,16.150,15.780,15.950,15.960,7281900,116048014.00,4.020000,-0.060,2.320,否,1.270,1.399,2.970,1.077,-7.910,否,283161227,181165391,4516421570.650,2889587986.450,130.080091,10.165184,5.657205,15.880,15.810,15.720,16.440,15.900,15.530,14.470,1992-04-28,-
2026-05-06,000021,深科技,消费电子,30.200,31.380,30.200,30.720,29.220,126080500,3896584980.00,8.010000,5.130,4.040,否,1.740,7.413,6.927,5.931,10.266,否,1574272580,1574041880,48361653657.600,48354566553.600,40.337409,3.619792,3.002612,29.410,29.210,28.540,28.280,29.770,27.820,24.050,1994-02-02,-
2026-05-06,000025,特  力Ａ,珠宝首饰,16.660,16.680,16.230,16.310,16.600,7521400,122801887.00,1.910000,-1.750,2.710,否,1.220,-0.061,3.819,0.803,3.359,否,431058320,392778320,7030561199.200,6406214399.200,49.540824,3.780031,5.352144,16.340,16.150,16.130,16.060,16.930,17.720,17.700,1993-06-21,-
2026-05-06,000026,飞亚达,珠宝首饰,18.200,18.240,17.770,17.850,18.130,15015600,270210220.00,4.120000,-1.540,2.590,否,0.910,0.450,-1.327,1.305,25.704,否,405764007,364560733,7242887524.950,6507409084.050,67.634321,2.131549,2.026760,18.010,18.050,16.960,15.990,15.660,15.750,15.660,1993-06-03,-
2026-05-06,000027,深圳能源,电力行业,6.880,7.040,6.800,7.040,6.840,51869600,360474661.00,1.090000,2.920,3.510,否,1.370,1.587,-0.424,5.389,-10.546,否,4757389916,4757389916,33492025008.640,33492025008.640,16.736810,1.001112,0.768181,6.940,6.930,6.800,6.970,6.950,6.850,6.730,1993-09-03,-
2026-05-06,000028,国药一致,医药商业,24.520,24.600,24.400,24.570,24.540,4286500,105130128.00,0.900000,0.120,0.810,否,0.980,-0.486,-1.720,-5.681,-3.458,否,556565077,478052850,13674803941.890,11745758524.500,12.483949,0.723633,0.187465,24.630,24.990,25.590,25.660,25.800,25.490,25.430,1993-08-09,-
2026-05-06,000029,深深房Ａ,房地产开发,21.380,21.740,21.040,21.140,21.260,9627300,204899533.00,1.080000,-0.560,3.290,否,1.730,3.882,3.984,3.780,11.029,否,1011660000,891660000,21386492400.000,18849692400.000,905.901579,5.918606,17.526996,20.890,20.500,20.200,19.900,20.980,22.300,22.440,1993-09-15,-
2026-05-06,000030,富奥股份,汽车零部件,5.100,5.120,5.070,5.100,5.090,16654600,84876239.00,1.000000,0.200,0.980,否,1.000,0.791,-2.111,-7.273,2.616,否,1719810845,1670906070,8771035309.500,8521620957.000,13.209019,1.027686,0.500197,5.100,5.250,5.170,5.130,5.260,5.440,5.670,1993-09-29,-
