日期,代码,名称,所属行业,开盘价,最高价,最低价,收盘价,前收盘价,成交量（股）,成交额（元）,换手率,涨幅%,振幅%,是否ST,量比,3日涨幅%,6日涨幅%,10日涨幅%,25日涨幅%,是否涨停,总股本（股）,流通股本（股）,总市值（元）,流通市值（元）,滚动市盈率,市净率,滚动市销率,5日线,10日线,20日线,30日线,60日线,120日线,250日线,上市时间,退市时间,是否融资融券
2026-01-26,000001,平安银行,银行,10.980,11.060,10.920,10.960,10.990,110624700,1214803431.00,0.570000,-0.270,1.270,否,1.260,-0.994,-2.055,-4.530,-5.842,否,19405918198,19405600653,212688863450.080,212685383156.880,4.932716,0.474776,1.566411,11.050,11.170,11.350,11.410,11.500,11.550,11.350,1991-04-03,-,
2026-01-26,000002,万  科Ａ,房地产开发,4.920,4.970,4.810,4.820,4.950,270982200,1317277570.00,2.790000,-2.630,3.230,否,0.970,-3.792,1.903,-1.230,-1.027,否,11930709471,9716399629,57506019650.220,46833046211.780,-0.965661,0.327193,0.202009,4.900,4.840,4.810,4.830,5.310,5.970,6.500,1991-01-29,-,
2026-01-26,000004,*ST国华,软件开发,13.000,13.200,12.350,12.720,12.590,6955800,89268214.00,5.510000,1.030,6.750,是,1.250,11.384,14.183,19.887,21.956,否,132380282,126287768,1683877187.040,1606380408.960,-13.712407,45.574558,22.820353,12.030,11.570,11.200,10.990,11.350,11.120,10.670,1991-01-14,-,
2026-01-26,000006,深振业Ａ,房地产开发,9.730,9.780,9.300,9.310,9.740,36729200,346491181.00,2.720000,-4.410,4.930,否,0.790,-3.523,1.086,-5.674,-2.513,否,1349995046,1349987396,12568453878.260,12568382656.760,-11.949189,2.328881,3.651719,9.540,9.440,9.670,9.710,10.390,9.660,8.090,1992-04-27,-,
2026-01-26,000007,全新好,房地产服务,11.500,11.840,11.450,11.720,11.540,8394900,97857512.00,2.420000,1.560,3.380,否,1.140,3.901,3.717,-1.264,1.913,否,346448044,346448044,4060371075.680,4060371075.680,71.657583,22.227585,8.965329,11.370,11.400,11.530,11.550,10.620,9.010,7.950,1992-04-13,-,
2026-01-26,000008,神州高铁,交运设备,3.220,3.320,3.180,3.220,3.210,91393000,294648797.00,3.360000,0.310,4.360,否,1.160,2.548,6.977,0.312,12.587,否,2716377683,2716296952,8746736139.260,8746476185.440,-19.322194,2.984025,4.108682,3.190,3.130,3.060,3.000,3.040,2.960,2.870,1992-05-07,-,
2026-01-26,000009,中国宝安,综合行业,10.450,10.520,10.190,10.250,10.410,39908300,411037091.00,1.550000,-1.540,3.170,否,0.990,0.688,0.688,-0.097,4.699,否,2579213965,2576020465,26436943141.250,26404209766.250,375.107718,2.623188,1.179894,10.200,10.160,10.130,10.090,10.360,10.370,9.330,1991-06-25,-,
2026-01-26,000010,美丽生态,工程建设,3.670,3.670,3.520,3.580,3.670,23478600,84045072.00,2.770000,-2.450,4.090,否,1.520,-2.717,0.562,-6.527,3.468,否,1149652292,848033335,4115755205.360,3035959339.300,91.161040,12.606504,4.507671,3.640,3.640,3.610,3.590,3.720,4.050,3.490,1995-10-27,-,
2026-01-26,000011,深物业A,房地产开发,9.050,9.070,8.880,8.990,9.080,6783900,60836920.00,1.290000,-0.990,2.090,否,0.970,0.559,4.535,-0.443,0.672,否,595979092,526475543,5357852037.080,4733015131.570,-4.932999,1.578738,1.710613,8.980,8.870,8.940,8.960,9.460,9.470,8.920,1992-03-30,-,
2026-01-26,000012,南  玻Ａ,玻璃玻纤,4.720,4.730,4.640,4.670,4.710,31771900,148510417.00,1.620000,-0.850,1.910,否,1.160,4.009,4.944,2.637,5.418,否,3070692107,1959316598,14340132139.690,9150008512.660,-38.832502,1.082305,1.021194,4.590,4.540,4.510,4.500,4.640,4.690,4.740,1992-02-28,-,
2026-01-26,000014,沙河股份,房地产开发,13.650,13.740,13.150,13.270,13.760,9431900,125883332.00,3.900000,-3.560,4.290,否,1.270,-1.191,1.453,-3.280,-1.849,否,242046224,242046224,3211953392.480,3211953392.480,-51.263055,2.018415,59.875526,13.420,13.370,13.510,13.560,14.870,16.010,13.440,1992-06-02,-,
2026-01-26,000016,深康佳Ａ,家电行业,5.160,5.180,5.060,5.060,5.160,30144700,153566121.00,1.890000,-1.940,2.330,否,0.750,-2.505,-0.978,-1.365,-1.556,否,2407945408,1596593800,12184203764.480,8078764628.000,-4.561614,9.626909,1.141511,5.140,5.100,5.080,5.100,5.220,5.320,5.200,1992-03-27,-,
2026-01-26,000017,深中华A,珠宝首饰,8.310,8.450,8.160,8.220,8.110,45245600,375534247.00,10.260000,1.360,3.580,否,1.800,2.494,7.592,1.481,-1.202,否,689184933,440821951,5665100149.260,3623556437.220,140.362909,15.135728,6.451678,8.000,7.910,7.950,7.970,7.740,7.250,6.740,1992-03-31,-,
2026-01-26,000019,深粮控股,贸易行业,7.120,7.150,7.020,7.140,7.100,10699900,75907834.00,2.570000,0.560,1.830,否,1.160,1.420,4.386,1.565,3.628,否,1152535254,416216407,8229101713.560,2971785145.980,25.352942,1.649414,1.498467,7.080,7.000,6.990,6.990,7.100,6.990,6.780,1992-10-12,-,
2026-01-26,000020,深华发Ａ,光学光电子,15.180,15.290,14.880,15.140,15.140,4320600,65307335.00,2.380000,0.000,2.710,否,1.010,2.436,4.127,1.679,7.528,否,283161227,181165391,4287060976.780,2742844019.740,97.962712,10.088960,4.798779,14.950,14.700,14.530,14.460,15.150,14.670,13.620,1992-04-28,-,
2026-01-26,000021,深科技,消费电子,30.520,31.050,29.260,29.440,30.570,110169400,3286322042.00,7.010000,-3.700,5.860,否,0.590,-9.804,-1.175,7.055,23.386,否,1571680518,1571429193,46270274449.920,46262875441.920,45.155086,3.633375,3.033455,31.130,29.850,27.930,26.640,25.750,24.510,21.380,1994-02-02,-,
2026-01-26,000025,特  力Ａ,珠宝首饰,18.900,19.660,18.860,19.290,18.950,22040600,426525872.00,5.610000,1.790,4.220,否,1.700,2.063,6.398,5.815,9.168,否,431058320,392778320,8315114992.800,7576693792.800,54.652379,4.600649,4.853641,18.910,18.550,18.170,18.020,18.470,18.170,17.570,1993-06-21,-,
2026-01-26,000026,飞亚达,珠宝首饰,16.930,16.990,16.360,16.600,16.930,8920000,148569238.00,2.450000,-1.950,3.720,否,1.070,-0.240,-0.240,-4.652,8.426,否,405764007,364562983,6735682516.200,6051745517.800,45.589760,1.994586,1.883726,16.730,16.780,16.560,16.100,15.850,16.670,14.280,1993-06-03,-,
2026-01-26,000027,深圳能源,电力行业,6.950,6.980,6.850,6.900,6.950,36551100,252933231.00,0.770000,-0.720,1.870,否,1.340,-0.576,-1.569,2.832,5.023,否,4757389916,4757389916,32825990420.400,32825990420.400,17.800208,1.002653,0.759178,6.940,6.950,6.790,6.720,6.760,6.760,6.500,1993-09-03,-,
2026-01-26,000028,国药一致,医药商业,26.250,26.800,26.140,26.480,25.560,15698100,414425716.00,3.280000,3.600,2.580,否,3.460,5.414,6.645,5.456,5.456,否,556565077,478053712,14737843238.960,12658862293.760,27.595350,0.799668,0.201787,25.500,25.250,25.050,24.950,25.140,25.370,25.250,1993-08-09,-,
