日期,代码,名称,所属行业,开盘价,最高价,最低价,收盘价,前收盘价,成交量（股）,成交额（元）,换手率,涨幅%,振幅%,是否ST,量比,3日涨幅%,6日涨幅%,10日涨幅%,25日涨幅%,是否涨停,总股本（股）,流通股本（股）,总市值（元）,流通市值（元）,滚动市盈率,市净率,滚动市销率,5日线,10日线,20日线,30日线,60日线,120日线,250日线,上市时间,退市时间
2026-05-08,000001,平安银行,银行,11.340,11.420,11.300,11.300,11.300,79882000,905737835.00,0.410000,-0.620,1.060,否,0.630,-1.654,-0.703,1.986,2.821,否,19405918198,19405600653,219286875637.400,219283287378.900,5.092589,0.472517,1.648650,11.410,11.290,11.200,11.150,11.020,11.240,11.400,1991-04-03,-
2026-05-08,000002,万  科Ａ,房地产开发,3.970,4.030,3.950,4.000,3.950,110976700,443314476.00,1.140000,0.500,2.010,否,0.790,2.302,7.239,2.564,-0.249,否,11930709471,9716935865,47722837884.000,38867743460.000,-0.540693,0.431743,0.212701,3.950,3.870,3.900,3.930,4.330,4.770,5.740,1991-01-29,-
2026-05-08,000006,深振业Ａ,房地产开发,9.410,9.630,9.370,9.450,9.370,24795900,235372191.00,1.840000,0.110,2.750,否,0.860,-2.577,1.070,-2.275,6.900,否,1349995046,1349984846,12757453184.700,12757356794.700,-1450.694282,2.376112,8.364677,9.510,9.550,9.290,9.100,9.070,9.620,8.690,1992-04-27,-
2026-05-08,000007,全新好,房地产服务,17.120,17.790,16.650,17.210,16.650,19433300,338605034.00,5.610000,1.120,6.700,否,1.510,10.961,23.193,25.346,30.379,否,346448044,346448044,5962370837.240,5962370837.240,-2957.761574,33.292140,14.059149,15.960,14.970,14.220,13.840,13.420,12.100,9.690,1992-04-13,-
2026-05-08,000008,神州高铁,交运设备,2.720,2.830,2.710,2.810,2.710,110861700,309161102.00,4.080000,2.930,4.400,否,2.500,4.461,5.639,4.074,-5.387,否,2716377683,2716296952,7633021289.230,7632794435.120,-9.274755,3.536698,3.569530,2.730,2.700,2.720,2.780,2.850,2.960,2.900,1992-05-07,-
2026-05-08,000009,中国宝安,综合行业,8.580,8.800,8.560,8.620,8.560,29692200,257371973.00,1.150000,0.120,2.790,否,0.600,-0.347,-2.709,-2.928,-4.540,否,2579213965,2576020465,22232824378.300,22205296408.300,428.163165,2.216566,0.926548,8.780,8.830,8.860,8.840,9.060,9.670,9.520,1991-06-25,-
2026-05-08,000010,*ST美丽,工程建设,2.480,2.480,2.480,2.480,2.480,2172600,5388048.00,0.250000,-4.980,0.000,是,0.140,-14.187,-31.492,-36.410,-41.093,否,1149652292,868142135,2851137684.160,2152992494.800,-1679.214266,9.687147,4.411421,2.750,3.190,3.570,3.750,3.890,3.790,3.740,1995-10-27,-
2026-05-08,000011,深物业A,房地产开发,7.910,8.120,7.880,8.050,7.880,6240500,49848140.00,1.190000,2.290,3.050,否,0.810,-0.248,-4.959,-3.823,-5.405,否,595979092,526475543,4797631690.600,4238128121.150,2918.002222,1.425251,1.961325,8.010,8.210,8.310,8.370,8.590,8.960,9.000,1992-03-30,-
2026-05-08,000012,南  玻Ａ,玻璃玻纤,4.020,4.050,4.010,4.030,4.010,17723900,71448008.00,0.900000,-0.250,0.990,否,0.520,0.000,-9.234,-11.038,-11.233,否,3042468811,1959316598,12261149308.330,7896045889.940,1099.128938,0.940697,0.898886,4.040,4.210,4.360,4.400,4.580,4.610,4.660,1992-02-28,-
2026-05-08,000014,沙河股份,房地产开发,12.930,13.180,12.820,13.110,12.820,6640700,86910886.00,2.740000,1.310,2.780,否,0.950,-0.682,-0.757,-1.057,-12.249,否,242046224,242046224,3173225996.640,3173225996.640,-20.830720,2.297830,9.467087,13.110,13.130,13.250,13.590,13.750,14.130,14.260,1992-06-02,-
2026-05-08,000016,*ST康佳A,家电行业,2.940,3.090,2.940,3.090,2.940,86116600,262523325.00,5.390000,5.100,5.100,是,1.410,-4.630,-3.135,-5.215,-4.630,否,2407945408,1596593800,7440551310.720,4933474842.000,-0.578534,-0.661024,0.806768,3.150,3.240,3.220,3.220,3.460,4.330,4.800,1992-03-27,-
2026-05-08,000017,深中华A,珠宝首饰,6.380,6.450,6.360,6.430,6.360,5671900,36310376.00,1.290000,0.630,1.410,否,0.780,0.312,0.626,-1.077,-8.143,否,689184933,440821951,4431459119.190,2834485144.930,107.195912,11.352682,6.262369,6.410,6.400,6.590,6.660,7.040,7.430,7.040,1992-03-31,-
2026-05-08,000019,深粮控股,贸易行业,7.610,7.930,7.590,7.650,7.590,19867300,153348619.00,4.770000,0.390,4.460,否,0.890,-0.520,-3.652,-2.548,-3.652,否,1152535254,416206407,8816894693.100,3183979013.550,40.661300,1.744675,1.621314,7.710,7.780,7.860,7.790,7.540,7.330,7.050,1992-10-12,-
2026-05-08,000020,深华发Ａ,光学光电子,14.940,16.000,14.420,14.420,14.420,7848800,114361992.00,4.330000,-9.990,9.860,否,1.370,-9.649,-8.965,-9.706,-10.988,否,283161227,181165391,4083184893.340,2612404938.220,117.602189,9.190091,5.114539,15.660,15.660,15.740,15.980,15.910,15.530,14.500,1992-04-28,-
2026-05-08,000021,深科技,消费电子,30.880,31.160,30.460,31.020,30.460,90221100,2783560892.00,5.730000,-1.650,2.220,否,0.950,6.160,5.906,7.522,14.507,否,1574272580,1574041880,48833935431.600,48826779117.600,40.731329,3.655142,3.031934,30.350,29.670,29.080,28.400,29.750,27.900,24.140,1994-02-02,-
