日期,代码,名称,所属行业,开盘价,最高价,最低价,收盘价,前收盘价,成交量（股）,成交额（元）,换手率,涨幅%,振幅%,是否ST,量比,3日涨幅%,6日涨幅%,10日涨幅%,25日涨幅%,是否涨停,总股本（股）,流通股本（股）,总市值（元）,流通市值（元）,滚动市盈率,市净率,滚动市销率,5日线,10日线,20日线,30日线,60日线,120日线,250日线,上市时间,退市时间,是否融资融券
2026-03-12,000001,平安银行,银行,61.380,61.890,61.260,61.770,61.490,75490600,824171954.00,0.390000,0.460,1.010,否,1.070,1.662,2.150,0.635,0.915,否,19405918198,19405600653,212300745086.120,212297271143.820,4.923715,0.473910,1.563553,61.230,61.190,61.610,61.640,63.130,63.970,64.070,1991-04-03,-,
2026-03-12,000002,万  科Ａ,房地产开发,99.470,99.900,98.830,99.260,99.690,75863100,353013910.00,0.780000,-0.430,1.070,否,0.900,0.000,0.649,-3.528,-4.318,否,11930709471,9716399629,55477799040.150,45181258274.850,-0.931602,0.315653,0.194885,99.730,100.180,102.440,102.890,103.180,118.890,132.640,1991-01-29,-,
2026-03-12,000004,*ST国华,软件开发,5.900,5.900,5.900,5.900,5.620,731400,4293318.00,0.580000,5.010,0.000,是,0.070,15.914,-0.840,-17.942,-49.573,否,132380282,126287768,777072255.340,741309198.160,-6.327974,21.031655,10.531091,5.460,5.870,7.230,8.840,9.900,10.850,10.260,1991-01-14,-,
2026-03-12,000006,深振业Ａ,房地产开发,73.390,73.950,72.100,73.230,73.550,15906800,143621198.00,1.180000,-0.440,2.520,否,0.550,2.721,6.192,-2.464,1.680,否,1349995046,1349987396,12271454968.140,12271385429.640,-11.666823,2.273848,3.565427,73.050,72.010,73.410,73.450,76.070,81.430,67.050,1992-04-27,-,
2026-03-12,000007,全新好,房地产服务,21.180,21.210,20.390,20.970,21.230,10355100,143106244.00,2.990000,-1.200,3.890,否,1.410,5.642,6.123,6.231,25.119,否,346448044,346448044,4843343655.120,4843343655.120,85.475513,26.513792,10.694139,20.620,20.230,19.320,18.490,17.810,15.190,12.830,1992-04-13,-,
2026-03-12,000008,神州高铁,交运设备,25.660,26.020,25.570,25.750,25.750,41696200,121697583.00,1.540000,0.000,1.720,否,1.060,0.000,2.835,-3.666,-8.785,否,2716377683,2716296952,7904659057.530,7904424130.320,-17.461982,2.696743,3.713126,25.790,25.780,26.210,26.670,26.490,26.420,25.600,1992-05-07,-,
2026-03-12,000009,中国宝安,综合行业,22.750,22.750,22.330,22.530,22.770,24742200,227366309.00,0.960000,-1.080,1.830,否,0.850,1.213,3.969,-3.263,-9.190,否,2579213965,2576020465,23702976338.350,23673628073.350,336.316091,2.351912,1.057876,22.490,22.430,22.870,23.310,24.020,25.440,23.080,1991-06-25,-,
2026-03-12,000010,美丽生态,工程建设,17.160,17.160,16.280,16.480,17.320,51625200,213697068.00,6.090000,-4.850,5.080,否,0.730,-3.286,-6.787,1.229,19.075,否,1149652292,848033335,4736567443.040,3493897340.200,104.911588,14.508044,5.187599,17.180,17.080,15.830,15.260,14.820,15.590,14.350,1995-10-27,-,
2026-03-12,000011,深物业A,房地产开发,13.090,13.120,12.960,12.970,13.080,3115700,26620751.00,0.590000,-0.820,1.280,否,0.810,0.777,2.126,-4.492,-3.997,否,595979092,526475543,5071782072.920,4480306870.930,-4.669613,1.494445,1.619279,13.010,12.990,13.440,13.520,13.600,14.280,13.680,1992-03-30,-,
2026-03-12,000012,南  玻Ａ,玻璃玻纤,29.900,30.210,29.720,30.150,30.150,41598900,204687948.00,2.120000,0.000,1.620,否,0.900,2.065,3.360,-1.983,5.789,否,3070692107,1959316598,15169219008.580,9679023994.120,-41.077636,1.144879,1.080235,29.810,29.780,29.460,29.090,28.260,28.600,28.830,1992-02-28,-,
2026-03-12,000014,沙河股份,房地产开发,42.650,43.710,42.360,42.800,42.740,14409500,210529512.00,5.950000,0.140,3.170,否,1.180,11.837,16.399,3.934,12.959,否,242046224,242046224,3521772559.200,3521772559.200,-56.207796,2.213107,65.651010,40.930,39.530,40.530,39.900,40.090,46.650,40.600,1992-06-02,-,
2026-03-12,000016,深康佳Ａ,家电行业,17.710,17.870,17.200,17.300,17.760,38451100,131081479.00,2.410000,-2.590,3.740,否,0.970,-1.760,-2.039,-11.959,-33.024,否,2407945408,1596593800,8162934933.120,5412452982.000,-3.056101,6.449649,0.764767,17.730,18.050,18.880,20.730,23.430,25.430,25.800,1992-03-27,-,
2026-03-12,000017,深中华A,珠宝首饰,7.400,7.400,7.180,7.220,7.400,8295800,60431060.00,1.880000,-2.430,2.970,否,1.220,-3.347,-2.300,-5.621,-15.556,否,689184933,440821951,4975915216.260,3182734486.220,123.287129,13.294398,5.666803,7.440,7.470,7.580,7.670,7.820,7.500,6.940,1992-03-31,-,
2026-03-12,000019,深粮控股,贸易行业,19.940,20.130,19.570,19.990,19.860,17496800,130723853.00,4.200000,0.670,2.820,否,0.700,-1.089,0.503,5.155,5.155,否,1152535254,416216407,8644014405.000,3121623052.500,26.631241,1.732577,1.574020,19.950,19.720,19.330,19.250,18.940,18.810,18.350,1992-10-12,-,
2026-03-12,000020,深华发Ａ,光学光电子,14.770,14.770,14.420,14.490,14.770,2095900,30499882.00,1.160000,-1.900,2.370,否,0.730,1.329,4.395,-5.418,-2.161,否,283161227,181165391,4103006179.230,2625086515.590,93.756915,9.655815,4.592755,14.570,14.450,14.860,14.910,14.760,14.880,13.830,1992-04-28,-,
2026-03-12,000021,深科技,消费电子,76.710,78.050,74.080,74.910,76.880,79668600,2518803117.00,5.070000,-2.560,5.180,否,0.710,0.348,0.160,-9.921,-1.796,否,1571680518,1571429193,49115016187.500,49107162281.250,47.931265,3.856758,3.219955,76.350,76.850,74.820,74.220,68.290,64.690,54.160,1994-02-02,-,
2026-03-12,000025,特  力Ａ,珠宝首饰,25.580,25.580,25.170,25.240,25.590,3588400,61800718.00,0.910000,-1.380,1.610,否,0.670,-0.277,-1.329,-6.171,-11.964,否,431058320,392778320,7401271354.400,6744003754.400,48.646000,4.095031,4.320219,25.490,25.790,26.390,26.720,26.540,26.850,26.140,1993-06-21,-,
2026-03-12,000026,飞亚达,珠宝首饰,30.090,30.300,29.840,29.990,30.070,3211900,49599935.00,0.880000,-0.260,1.550,否,0.880,1.592,3.915,-2.976,-4.246,否,405764007,364562983,6248765707.800,5614269938.200,42.294114,1.850399,1.747553,29.940,29.800,30.100,30.510,30.780,31.220,29.000,1993-06-03,-,
2026-03-12,000027,深圳能源,电力行业,35.830,36.770,35.740,36.620,35.980,82134300,605439265.00,1.730000,1.780,2.880,否,1.720,4.928,6.299,7.674,8.311,否,4757389916,4757389916,35299833176.720,35299833176.720,19.141673,1.078216,0.816391,35.480,35.070,34.170,34.000,33.490,33.540,32.510,1993-09-03,-,
2026-03-12,000028,国药一致,医药商业,71.570,72.130,71.350,71.960,71.570,2757500,71182677.00,0.580000,0.540,1.090,否,0.840,1.338,2.580,0.433,-1.788,否,556565077,478053712,14392772891.220,12362468992.320,26.949235,0.780945,0.197062,71.430,71.310,71.970,72.270,70.730,70.750,70.400,1993-08-09,-,
2026-03-12,000029,深深房Ａ,房地产开发,23.390,23.390,22.210,22.320,23.270,5076000,106997883.00,0.570000,-4.090,5.060,否,1.100,-2.105,-1.195,-10.036,4.494,否,1011660000,891660000,21113344200.000,18608944200.000,-576.679557,5.763369,19.235164,23.040,23.300,23.870,23.600,23.850,26.610,23.200,1993-09-15,-,
2026-03-12,000030,富奥股份,汽车零部件,10.920,10.960,10.780,10.800,10.860,10737900,57713959.00,0.640000,-0.560,1.670,否,0.840,1.504,2.662,-4.085,-3.052,否,1719810845,1670906445,9200988020.750,8939349480.750,13.690053,1.129104,0.538015,10.780,10.840,10.950,11.010,11.190,11.230,11.500,1993-09-29,-,
2026-03-12,000031,大悦城,房地产开发,14.000,14.130,13.870,13.950,14.040,18976300,61513968.00,0.440000,-0.620,1.850,否,0.770,-1.553,-1.830,-6.938,-4.713,否,4286313339,4286304701,13844792084.970,13844764184.230,-4.736510,1.366244,0.384991,14.140,14.390,15.000,15.080,13.870,13.860,12.970,1993-10-08,-,
2026-03-12,000032,深桑达Ａ,工程建设,43.710,44.270,42.730,43.220,43.760,17548200,326838892.00,1.540000,-1.220,3.510,否,0.730,-2.876,2.587,-5.592,-14.058,否,1215179311,1137959234,22590183391.490,21154662160.060,143.413226,3.690715,0.434541,44.040,44.240,45.580,46.810,46.930,47.830,49.890,1993-10-28,-,
2026-03-12,000034,神州数码,计算机设备,42.930,44.490,42.780,43.050,43.010,37224600,1485060045.00,6.160000,0.100,3.970,否,1.180,-1.600,4.821,2.329,-1.080,否,723444335,604773280,28482003468.950,23809924033.600,53.821164,2.564879,0.204965,43.080,42.690,41.760,41.980,42.510,44.300,44.220,1994-05-09,-,
2026-03-12,000035,中国天楹,环保行业,16.920,17.170,16.080,16.670,17.090,184035700,1482762559.00,7.960000,-2.410,6.390,否,0.770,4.645,6.996,27.155,30.234,否,2388032769,2313025748,19343065428.900,18735508558.800,84.148081,1.769079,3.622238,16.510,15.890,14.150,13.670,12.770,12.150,10.570,1994-04-08,-,
2026-03-12,000036,华联控股,房地产开发,36.870,36.870,35.800,36.010,36.870,32556800,165646478.00,2.320000,-2.320,2.900,否,0.960,-1.934,-1.369,-11.064,-16.373,否,1403818725,1401150983,7103322748.500,7089823973.980,183.361031,1.397596,17.027950,36.790,37.020,38.620,40.460,41.900,36.500,31.580,1994-06-17,-,
2026-03-12,000037,深南电A,电力行业,19.730,19.880,19.320,19.840,19.780,15847000,159445042.00,4.680000,0.300,2.860,否,1.250,0.967,4.421,2.585,10.039,否,602762596,338908150,6124067975.360,3443306804.000,128.673703,4.165706,17.452683,19.770,19.470,19.120,18.770,17.770,17.610,17.400,1994-07-01,-,
2026-03-12,000039,中集集团,通用设备,239.550,248.070,235.280,241.770,241.400,63625000,833365944.00,2.760000,0.150,5.300,否,0.930,0.232,2.514,-3.550,36.833,否,5392520385,2301407141,70318465820.400,30010349118.640,25.948367,1.447024,0.424233,243.920,244.650,230.110,214.760,195.930,174.770,160.700,1994-04-08,-,
2026-03-12,000042,中洲控股,房地产开发,22.400,22.500,21.940,21.970,22.450,4793100,41423607.00,0.720000,-2.170,2.510,否,0.790,0.365,0.595,-4.768,1.572,否,664831139,664131202,5697602861.230,5691604401.140,-3.944210,1.728385,2.271496,22.190,22.290,22.870,22.330,21.420,21.050,19.900,1994-09-21,-,
2026-03-12,000045,深纺织Ａ,光学光电子,21.350,21.510,20.980,21.110,21.350,10088900,132920405.00,2.210000,-1.130,2.480,否,0.620,5.025,9.492,-1.124,0.476,否,506521849,457021849,6655697095.860,6005267095.860,95.197298,2.236944,2.030255,20.810,20.570,20.760,20.750,20.180,20.410,18.770,1994-08-15,-,
2026-03-12,000048,京基智农,农牧饲渔,46.630,48.570,46.280,48.210,46.610,19646900,393064524.00,3.730000,3.430,4.910,否,1.640,8.070,16.477,15.032,6.872,否,530282250,526359550,10717004272.500,10637726505.500,26.148073,2.536840,2.128187,45.800,44.240,43.320,43.590,39.500,38.940,38.130,1994-11-01,-,
2026-03-12,000049,德赛电池,电池,74.380,74.910,73.680,74.850,74.270,8344100,222065834.00,2.170000,0.790,1.650,否,1.330,4.920,6.639,0.524,3.227,否,384638534,384534862,10308312711.200,10305534301.600,24.692301,1.547260,0.468436,72.700,72.150,72.920,73.010,74.540,75.590,68.880,1995-03-20,-,
2026-03-12,000050,深天马Ａ,光学光电子,39.960,41.060,39.830,40.550,40.130,25761700,245798043.00,1.050000,1.060,3.070,否,0.680,3.470,3.815,-5.168,-7.462,否,2457747661,2457716686,23471490162.550,23471194351.300,200.336638,0.853422,0.649407,39.920,40.500,40.830,41.300,40.490,40.490,38.460,1995-03-15,-,
2026-03-12,000055,方大集团,装修装饰,13.890,13.960,13.780,13.850,13.960,7478600,29278577.00,1.110000,-0.760,1.270,否,0.850,-0.788,2.897,-2.258,-7.790,否,1073874227,675852229,4198848227.570,2642582215.390,381.961889,0.689527,1.111698,13.950,13.880,14.010,14.270,14.580,14.970,14.800,1996-04-15,-,
2026-03-12,000056,皇庭国际,房地产服务,4.970,4.970,4.800,4.800,4.990,62644000,125367346.00,6.930000,-3.880,3.400,否,0.780,-1.031,1.480,-11.927,-1.840,否,1182528220,903726533,2341405875.600,1789378535.340,-0.829335,-1.122049,0.679354,4.910,4.920,5.110,5.010,5.030,5.560,6.680,1996-07-08,-,
2026-03-12,000058,深 赛 格,商业百货,11.030,11.080,10.900,10.930,11.040,4805000,41122675.00,0.490000,-1.050,1.630,否,0.680,-0.455,1.486,-6.180,-10.115,否,1231200672,984739354,10489829725.440,8389979296.080,113.623097,5.035600,6.225110,11.010,11.020,11.390,11.610,11.800,12.140,11.470,1996-12-26,-,
2026-03-12,000059,华锦股份,石油行业,7.560,7.910,7.510,7.820,7.430,81095500,477906125.00,5.070000,5.280,5.460,否,1.220,2.760,-2.857,-1.511,-2.128,否,1599442537,1599442537,9564666371.260,9564666371.260,-4.160175,0.948881,0.236828,7.670,7.960,7.880,7.850,7.380,7.090,6.940,1997-01-30,-,
2026-03-12,000060,中金岭南,有色金属,96.100,97.950,95.180,96.370,96.890,112810300,825751566.00,2.540000,-0.540,2.860,否,0.870,-1.210,-6.519,-6.154,-14.800,否,4441172458,4441116208,32464970667.980,32464559480.480,28.902763,2.035129,0.499585,97.680,101.340,98.140,99.310,88.920,80.470,70.820,1997-01-23,-,
2026-03-12,000061,农 产 品,贸易行业,86.870,87.430,85.660,86.780,86.870,10177200,94726901.00,0.600000,-0.110,2.040,否,0.610,1.747,2.190,2.419,-1.274,否,1984961198,1696933006,18499838365.360,15815415615.920,55.594982,2.202079,2.640188,86.240,85.590,85.510,86.600,89.190,86.640,73.580,1997-01-10,-,
2026-03-12,000062,深圳华强,电子元件,52.290,53.040,51.640,52.450,53.100,40439400,1041578890.00,3.870000,-1.220,2.630,否,3.080,9.935,12.289,4.191,1.294,否,1045909322,1044927241,27068133253.360,27042716997.080,87.941761,3.936556,1.160152,49.830,49.050,49.360,50.140,50.220,53.100,52.320,1997-01-30,-,
2026-03-12,000063,中兴通讯,通信设备,372.540,385.590,371.220,375.680,375.680,101379100,3787622570.00,2.520000,0.000,3.830,否,0.930,3.980,0.406,-3.758,-6.380,否,4783534887,4027621232,177564815005.440,149505300131.840,31.607845,2.358141,1.326145,372.860,376.790,377.680,382.920,387.430,418.090,381.430,1997-11-18,-,
