日期,代码,名称,所属行业,开盘价,最高价,最低价,收盘价,前收盘价,成交量（股）,成交额（元）,换手率,涨幅%,振幅%,是否ST,量比,3日涨幅%,6日涨幅%,10日涨幅%,25日涨幅%,是否涨停,总股本（股）,流通股本（股）,总市值（元）,流通市值（元）,滚动市盈率,市净率,滚动市销率,5日线,10日线,20日线,30日线,60日线,120日线,250日线,上市时间,退市时间
2026-05-14,000001,平安银行,银行,62.900,62.960,62.390,62.390,62.390,79436800,881960631.00,0.410000,-0.810,0.900,否,0.840,-2.041,-2.728,-2.910,-0.637,否,19405918198,19405600653,214435396087.900,214431887215.650,4.979921,0.462063,1.612175,63.260,63.930,63.300,63.110,62.320,63.400,64.420,1991-04-03,-
2026-05-14,000002,万  科Ａ,房地产开发,85.170,86.020,82.400,82.610,82.400,125398700,490920735.00,1.290000,-3.010,4.260,否,0.860,-5.383,-3.493,3.755,1.312,否,11930709471,9716935865,46171845652.770,37604541797.550,-0.523120,0.417712,0.205788,85.600,84.470,83.760,83.740,91.290,100.340,121.440,1991-01-29,-
2026-05-14,000006,深振业Ａ,房地产开发,83.620,84.180,79.990,80.070,79.990,63031800,637023898.00,4.670000,-4.240,5.010,否,1.060,4.626,4.955,6.306,21.965,否,1349995046,1349984846,13418950757.240,13418849369.240,-1525.915467,2.499318,8.798401,80.110,78.160,77.230,74.590,73.680,76.970,70.520,1992-04-27,-
2026-05-14,000007,全新好,房地产服务,20.550,20.760,19.190,19.290,19.190,22763100,299541349.00,6.570000,-4.880,7.770,否,0.940,-22.092,-19.491,-7.968,3.933,否,346448044,346448044,4455321845.840,4455321845.840,-2210.157690,24.877218,10.505558,22.490,22.820,21.680,20.950,20.460,18.400,14.730,1992-04-13,-
2026-05-14,000008,神州高铁,交运设备,24.690,25.400,24.160,24.250,24.160,76148000,213180878.00,2.800000,-1.790,5.020,否,1.130,-2.139,1.507,3.016,-2.493,否,2716377683,2716296952,7442874851.420,7442653648.480,-9.043711,3.448595,3.480610,24.600,24.220,24.030,24.650,25.140,26.080,25.640,1992-05-07,-
2026-05-14,000009,中国宝安,综合行业,20.370,20.390,19.610,19.640,19.610,37714800,305252216.00,1.460000,-3.610,3.850,否,1.180,-6.610,-8.310,-9.576,-4.937,否,2579213965,2576020465,20659503859.650,20633923924.650,397.863916,2.059709,0.860980,20.570,21.090,21.480,21.480,22.030,23.470,23.360,1991-06-25,-
2026-05-14,000010,*ST美丽,工程建设,10.640,10.760,10.400,10.400,10.400,53269600,140543826.00,6.140000,-4.760,3.300,是,0.840,0.000,-5.455,-28.177,-32.817,否,1149652292,868142135,2989095959.200,2257169551.000,-1760.466569,10.155880,4.624877,10.510,11.120,13.400,14.090,15.340,15.000,14.980,1995-10-27,-
2026-05-14,000011,深物业A,房地产开发,12.270,12.330,11.780,11.780,11.780,8623500,67715597.00,1.640000,-3.740,4.480,否,0.950,-4.461,-3.363,-8.753,-5.077,否,595979092,526475543,4606918381.160,4069655947.390,2802.007103,1.368595,1.883360,12.260,12.270,12.550,12.650,13.000,13.550,13.720,1992-03-30,-
2026-05-14,000012,南  玻Ａ,玻璃玻纤,23.370,23.740,22.950,23.500,22.950,30733200,117635291.00,1.570000,0.520,3.390,否,1.120,-4.199,-4.472,-13.284,-11.488,否,3042468811,1959316598,11713504922.350,7543368902.300,1050.036330,0.898681,0.858737,23.960,24.300,25.890,26.340,27.680,27.910,28.390,1992-02-28,-
2026-05-14,000014,沙河股份,房地产开发,37.620,37.620,36.120,36.180,36.120,7144100,88976635.00,2.950000,-3.230,4.010,否,0.790,-5.014,-6.124,-6.897,-3.158,否,242046224,242046224,2977168555.200,2977168555.200,-19.543696,2.155859,8.882164,37.690,38.110,38.600,39.040,40.370,41.130,42.040,1992-06-02,-
2026-05-14,000016,*ST康佳A,家电行业,16.440,16.790,16.230,16.540,16.230,36805000,118856256.00,2.310000,0.620,3.420,是,0.480,3.829,5.216,1.597,-0.601,否,2407945408,1596593800,7801743121.920,5172963912.000,-0.606619,-0.693112,0.845932,16.190,16.300,16.470,16.460,17.290,21.720,24.350,1992-03-27,-
2026-05-14,000017,深中华A,珠宝首饰,6.160,6.190,5.960,5.970,5.960,9122300,55068853.00,2.070000,-3.240,3.730,否,1.180,-6.132,-6.864,-6.573,-9.132,否,689184933,440821951,4114434050.010,2631707047.470,99.527153,10.540515,5.814362,6.220,6.300,6.460,6.580,6.960,7.410,7.040,1992-03-31,-
2026-05-14,000019,深粮控股,贸易行业,19.380,19.460,18.980,19.090,18.980,14390600,103379019.00,3.460000,-1.920,2.470,否,0.720,-4.263,-8.441,-9.825,0.421,否,1152535254,416206407,8252152418.640,2980037874.120,38.056851,1.632925,1.517466,19.650,20.070,20.550,20.650,20.130,19.550,18.830,1992-10-12,-
2026-05-14,000020,深华发Ａ,光学光电子,13.940,14.700,13.800,13.960,13.800,11729200,166191181.00,6.470000,1.380,6.540,否,1.190,-3.658,-12.476,-11.869,-5.803,否,283161227,181165391,3952930728.920,2529068858.360,113.850663,8.896926,4.951384,14.150,15.030,15.420,15.500,15.840,15.490,14.540,1992-04-28,-
2026-05-14,000021,深科技,消费电子,83.420,86.300,81.990,82.320,81.990,181368000,6362548986.00,11.520000,-0.780,5.200,否,1.420,4.150,11.787,17.232,33.875,否,1574272580,1574041880,54060520397.200,54052598159.200,45.090711,4.046343,3.356435,79.230,75.410,72.400,69.740,72.090,67.410,58.480,1994-02-02,-
2026-05-14,000025,特  力Ａ,珠宝首饰,23.230,23.240,22.860,22.870,22.860,4311200,67466430.00,1.100000,-1.710,1.640,否,0.850,-4.430,-4.629,-3.175,-0.262,否,431058320,392778320,6707267459.200,6111630659.200,47.262736,3.606210,5.106031,23.440,23.730,23.690,23.650,24.570,25.890,25.960,1993-06-21,-
2026-05-14,000026,飞亚达,珠宝首饰,39.300,40.820,39.050,39.490,39.050,18530000,379618990.00,5.080000,0.450,4.510,否,0.760,0.688,13.608,11.428,40.835,否,405764007,364560733,8228894061.960,7393291665.240,76.841683,2.421727,2.302672,39.340,37.310,35.990,33.470,31.340,31.050,30.910,1993-06-03,-
2026-05-14,000027,深圳能源,电力行业,37.220,38.100,36.180,36.180,36.180,87335100,652801034.00,1.840000,-2.790,5.170,否,1.530,1.944,4.115,5.635,11.050,否,4757389916,4757389916,34871668084.280,34871668084.280,17.426252,1.042350,0.799825,35.990,35.200,34.450,34.150,34.570,33.860,33.250,1993-09-03,-
2026-05-14,000028,国药一致,医药商业,68.170,68.230,67.230,67.310,67.230,3884200,94369023.00,0.810000,-1.430,1.470,否,1.100,-2.308,-1.550,-1.464,-8.372,否,556565077,478052850,13463309212.630,11564098441.500,12.290873,0.712441,0.184566,68.260,68.390,69.800,70.940,71.300,70.790,70.610,1993-08-09,-
2026-05-14,000029,深深房Ａ,房地产开发,28.440,30.740,28.160,29.960,28.160,19213900,535612091.00,2.150000,4.910,9.030,否,1.260,16.350,32.508,35.077,45.366,否,1011660000,891660000,28336596600.000,24975396600.000,1200.298166,7.842013,23.222855,27.200,24.840,23.200,22.460,22.680,23.660,24.240,1993-09-15,-
2026-05-14,000030,富奥股份,汽车零部件,9.990,10.030,9.750,9.770,9.750,17630100,85918683.00,1.060000,-2.220,2.830,否,1.070,-4.497,-5.053,-6.058,0.826,否,1719810845,1670906070,8323884489.800,8087185378.800,12.535618,0.975294,0.474697,10.060,10.160,10.450,10.390,10.540,10.910,11.360,1993-09-29,-
2026-05-14,000031,大悦城,房地产开发,13.000,13.090,12.440,12.480,12.440,25621300,74901669.00,0.600000,-3.670,5.000,否,0.850,-7.418,-6.517,-0.399,3.226,否,4286313339,4286304701,12387445549.710,12387420585.890,-5.353852,1.211232,0.372212,13.140,13.060,12.830,12.740,13.500,13.490,13.170,1993-10-08,-
2026-05-14,000032,深桑达Ａ,工程建设,45.060,45.220,42.660,42.660,42.660,24608300,460525296.00,2.160000,-4.680,5.710,否,0.960,-3.745,2.845,2.057,7.051,否,1215179311,1137959234,22298540356.850,20881551943.900,-127.115739,3.018790,0.451036,43.610,42.510,42.700,42.330,43.300,45.140,47.970,1993-10-28,-
2026-05-14,000034,神州数码,计算机设备,47.130,47.150,44.180,44.730,44.180,43200200,1788845848.00,7.120000,-4.530,6.350,否,0.840,-4.033,3.734,10.993,27.581,否,726242617,606534173,29703323035.300,24807247675.700,54.837342,2.645774,0.194738,45.530,43.970,41.970,40.290,40.550,42.040,43.270,1994-05-09,-
2026-05-14,000035,中国天楹,环保行业,13.770,13.770,13.220,13.240,13.220,58430900,380860948.00,2.530000,-4.030,4.030,否,1.010,-1.634,-2.432,-5.158,-0.898,否,2388032769,2313025748,15355050704.670,14872755559.640,53.045645,1.427182,2.941713,13.480,13.570,13.900,13.900,14.230,13.130,11.350,1994-04-08,-
2026-05-14,000036,华联控股,房地产开发,43.340,43.410,41.060,41.140,41.060,54686000,321586213.00,3.900000,-5.090,5.420,否,0.630,-8.679,3.419,9.912,24.065,否,1403818725,1402981231,8114072230.500,8109231515.180,89.708483,1.577685,10.860898,43.330,41.060,38.690,37.320,37.310,38.660,33.100,1994-06-17,-
