日期,代码,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-04-10,A,115.45,115.06,116.83,114.53,1033245,119062310.0,1.99,-0.29,-0.33,0.37
2026-04-10,AA,74.22,73.03,75.19,72.86,3186784,233885322.0,3.18,-0.33,-0.24,1.21
2026-04-10,AAA,24.98,24.935,24.99,24.88,5637,140500.0,0.44,0.2,0.049,0.0
2026-04-10,AAAA,27.9,27.895,27.99,27.86,11825,330370.0,0.47,0.04,0.01,0.0
2026-04-10,AAAC,20.005,20.005,20.005,20.005,4,80.0,0.0,0.05,0.01,0.0
2026-04-10,AAAU,47.11,46.95,47.28,46.83,1390904,65392166.0,0.96,-0.15,-0.07,0.0
2026-04-10,AACB,10.36,10.36,10.36,10.36,9134,94629.0,0.0,0.0,0.0,0.04
2026-04-10,AACBR,0.285,0.278,0.285,0.278,4608,1313.0,2.52,0.0,0.0,0.0
2026-04-10,AACBU,10.7,10.7,10.7,10.7,97,1037.0,0.0,0.0,0.0,0.0
2026-04-10,AACG,0.97,1.04,1.04,0.94,1009,996.0,10.26,6.67,0.065,0.0
2026-04-10,AACI,9.87,9.87,9.87,9.87,1137,11225.0,0.0,0.0,0.0,0.0
2026-04-10,AACIU,9.99,9.99,9.99,9.99,114,1141.0,0.0,0.0,0.0,0.0
2026-04-10,AACPU,10.035,10.035,10.04,10.03,256358,2572654.0,0.1,0.05,0.005,0.0
2026-04-10,AADR,87.55,86.815,87.782,86.445,1657,143807.0,1.54,-0.1,-0.091,0.0
2026-04-10,AAEQ,48.54,48.51,48.54,48.48,8169,396301.0,0.12,-0.23,-0.11,0.0
2026-04-10,AAL,11.45,11.32,11.49,11.24,31912450,361904000.0,2.2,-0.44,-0.05,4.83
2026-04-10,AALG,8.95,8.786,8.95,8.63,56434,496829.0,3.61,-0.99,-0.088,0.0
2026-04-10,AAME,2.43,2.545,2.58,2.34,13424,33390.0,10.13,7.38,0.175,0.07
2026-04-10,AAMI,61.81,61.93,62.07,61.07,288001,17790644.0,1.62,0.11,0.07,0.81
2026-04-10,AAOI,139.745,150.6,154.75,128.02,21901680,3199511664.0,20.05,12.98,17.3,29.13
2026-04-10,AAON,92.0,93.17,93.67,91.01,484838,44891379.0,2.93,2.64,2.4,0.59
2026-04-10,AAOX,48.0,53.33,55.84,39.0,3836346,190188151.0,39.89,26.31,11.11,0.0
2026-04-10,AAP,57.38,54.59,57.91,54.09,2023048,111945024.0,6.76,-3.43,-1.94,3.35
2026-04-10,AAPB,28.34,28.36,28.77,28.1,148399,4220412.0,2.36,-0.26,-0.073,0.0
2026-04-10,AAPD,13.63,13.608,13.68,13.52,7839895,106634420.0,1.18,0.13,0.018,0.0
2026-04-10,AAPG,24.809,25.33,25.33,24.809,625,15694.0,2.01,-2.13,-0.55,0.0
2026-04-10,AAPL,259.98,260.48,262.19,259.023,31291473,8148829440.0,1.22,0.0,-0.01,0.21
2026-04-10,AAPR,29.1,29.103,29.14,29.06,2972,86477.0,0.27,-0.02,-0.005,0.0
2026-04-10,AAPU,29.36,29.43,29.81,29.113,1040979,30674478.0,2.37,-0.14,-0.04,0.0
2026-04-10,AAPW,35.125,35.25,35.62,35.125,6071,214800.0,1.4,-0.42,-0.15,0.0
